,Région,Rayonnement solaire global (W/m2),Année,Heure,Saison,Energie (W.h-1.m2-1),mois,an,Tarif ≤ 9 kWc,Tarif ≤ 3 kWc
123,Nouvelle-Aquitaine,244.93,2020-01-16,12:00:00,Hiver,20.410833333333333,1,2020,15.75,18.53
124,Nouvelle-Aquitaine,256.57,2020-01-16,15:00:00,Hiver,17.104666666666667,1,2020,15.75,18.53
125,Nouvelle-Aquitaine,0.0,2020-01-16,06:00:00,Hiver,0.0,1,2020,15.75,18.53
126,Nouvelle-Aquitaine,9.11,2020-01-16,00:00:00,Hiver,0.0,1,2020,15.75,18.53
127,Nouvelle-Aquitaine,0.0,2020-01-16,03:00:00,Hiver,0.0,1,2020,15.75,18.53
128,Nouvelle-Aquitaine,49.35,2020-01-17,09:00:00,Hiver,5.483333333333333,1,2020,15.75,18.53
129,Nouvelle-Aquitaine,9.18,2020-01-17,00:00:00,Hiver,0.0,1,2020,15.75,18.53
130,Nouvelle-Aquitaine,129.21,2020-01-17,12:00:00,Hiver,10.7675,1,2020,15.75,18.53
131,Nouvelle-Aquitaine,0.0,2020-01-17,06:00:00,Hiver,0.0,1,2020,15.75,18.53
132,Nouvelle-Aquitaine,179.9,2020-01-17,15:00:00,Hiver,11.993333333333334,1,2020,15.75,18.53
133,Nouvelle-Aquitaine,4.79,2020-01-17,21:00:00,Hiver,0.2280952380952381,1,2020,15.75,18.53
134,Nouvelle-Aquitaine,0.0,2020-01-17,03:00:00,Hiver,0.0,1,2020,15.75,18.53
135,Nouvelle-Aquitaine,69.69,2020-01-17,18:00:00,Hiver,3.8716666666666666,1,2020,15.75,18.53
136,Nouvelle-Aquitaine,4.79,2020-01-18,00:00:00,Hiver,0.0,1,2020,15.75,18.53
137,Nouvelle-Aquitaine,38.27,2020-01-18,09:00:00,Hiver,4.252222222222223,1,2020,15.75,18.53
138,Nouvelle-Aquitaine,5.65,2020-01-18,21:00:00,Hiver,0.2690476190476191,1,2020,15.75,18.53
139,Nouvelle-Aquitaine,150.52,2020-01-18,15:00:00,Hiver,10.034666666666668,1,2020,15.75,18.53
140,Nouvelle-Aquitaine,0.0,2020-01-18,03:00:00,Hiver,0.0,1,2020,15.75,18.53
141,Nouvelle-Aquitaine,44.57,2020-01-18,18:00:00,Hiver,2.476111111111111,1,2020,15.75,18.53
142,Nouvelle-Aquitaine,0.0,2020-01-18,06:00:00,Hiver,0.0,1,2020,15.75,18.53
143,Nouvelle-Aquitaine,150.35,2020-01-18,12:00:00,Hiver,12.529166666666667,1,2020,15.75,18.53
144,Nouvelle-Aquitaine,81.33,2020-01-19,18:00:00,Hiver,4.5183333333333335,1,2020,15.75,18.53
145,Nouvelle-Aquitaine,61.01,2020-01-19,09:00:00,Hiver,6.778888888888889,1,2020,15.75,18.53
146,Nouvelle-Aquitaine,0.0,2020-01-19,03:00:00,Hiver,0.0,1,2020,15.75,18.53
147,Nouvelle-Aquitaine,4.52,2020-01-19,21:00:00,Hiver,0.21523809523809523,1,2020,15.75,18.53
148,Nouvelle-Aquitaine,0.0,2020-01-19,06:00:00,Hiver,0.0,1,2020,15.75,18.53
149,Nouvelle-Aquitaine,219.83,2020-01-19,12:00:00,Hiver,18.319166666666668,1,2020,15.75,18.53
150,Nouvelle-Aquitaine,5.64,2020-01-19,00:00:00,Hiver,0.0,1,2020,15.75,18.53
151,Nouvelle-Aquitaine,238.77,2020-01-19,15:00:00,Hiver,15.918000000000001,1,2020,15.75,18.53
152,Nouvelle-Aquitaine,0.0,2020-01-20,06:00:00,Hiver,0.0,1,2020,15.75,18.53
